,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,price_ann_fair,price_ltci_fair,price_rmr_fair,female,college,nkids,anykids,university,pexhaust,pbeq,pnhome,price_ann_fair_avg,price_ltci_fair_avg,price_rmr_fair_avg,buy_ann_joint,buy_ltci_joint,buy_rmr_joint,buy_ann_indp,buy_ltci_indp,buy_rmr_indp,seed
468,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,0.0,0.0,1,,0.6218589310103857,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.90885363048835,16.579876496133178,0.0865793963309989,0.0,1,0.0,1.0,1,1.0,0.3,0.75,0.5,18.489219370038562,0.10348240557545837,0.002100910211974422,0.5,0.0,0.0,0.5,0.0,0.0,
665,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,0.0,0.0,0,,-3.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.90885363048835,14.110513041814542,0.0609350972491287,5.1119893113368725e-05,0,0.0,5.0,1,1.0,0.3,0.5,0.5,11.880469113325246,0.11482852128408488,0.000987356883245741,0.5,0.0,0.0,0.5,0.0,0.0,
1383,880.8996211331786,8,0,1,500.0,230.0,425.0,66,189.408567133119,189.408567133119,1,70,129.61579259628797,129.61579259628797,3,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,0.0,0.0,0,0.0,-3.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.7986287229243,14.010833785450938,0.2518232991037995,0.0,1,0.0,2.0,1,1.0,0.0,0.8,0.6,15.882965937583535,0.13386098550119,0.0009360239116605733,0.0,0.0,0.0,0.0,0.0,0.0,
634,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,0.0,0.0,1,,-1.9780075482694293,0.5607410535334644,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.1858597446627,16.563668777282764,0.0591489382852845,0.0,1,0.0,0.0,0,1.0,,0.1,0.0,16.60203212252335,0.10632516951427601,0.001565335128276905,0.5,0.0,0.0,0.5,0.0,0.0,
208,4230.715283026676,1,0,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65,0.0,0.0,1,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,0.0,0.0,1,1.0,-0.052356990966113,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.2708670639884,16.339731693762417,0.2445274009394129,0.0,1,1.0,2.0,1,0.0,0.0,0.75,,18.489219370038562,0.10348240557545837,0.002100910211974422,0.5,0.0,0.0,0.5,0.0,0.0,
1198,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,0.0,0.0,0,,-0.9050083058072266,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.1858597446627,9.9546222788353,0.1293427149393101,1.1002422373496027e-05,0,0.0,2.0,1,0.0,0.0,1.0,0.5,12.99234977104385,0.09509252787793375,0.0013937673306898513,0.5,0.0,0.0,0.5,0.0,0.0,
1571,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077942,26.944901400077942,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0,0.0,0,,0.3619998729473916,0.1112248403294,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.31759594053744,11.94824740296482,0.2057050285479555,6.903713945823929e-05,1,0.0,4.0,1,1.0,0.2,0.9,0.95,14.215956831660213,0.1556463911199782,0.00040280461584787865,0.5,0.0,0.0,0.5,0.0,0.0,
976,1278.4983244321725,6,0,1,408.77373818632424,0.0,750.0,65,98.94707736778494,98.94707736778494,1,67,37.73405492839256,37.73405492839256,1,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,0.0,0.0,0,0.0,0.1431708705381105,1.317386069860402,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.90885363048835,18.43988168591598,0.0616046458804536,0.0055052889031935,1,0.0,0.0,0,1.0,0.0,1.0,0.65,16.60203212252335,0.10632516951427601,0.001565335128276905,0.5,0.0,0.0,0.5,0.0,0.0,
437,580.936724934376,8,0,1,180.0,65.0,360.0,62,6.199991139606666,6.199991139606666,1,63,0.4999992854521505,0.4999992854521505,1,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.0,0.0,0,0.0,0.5745397373832422,0.5391564617302692,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.2760000000000002,2.724,1.6320000000000001,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.7986287229243,18.728086106162348,0.0593900936388114,0.0,0,0.0,1.0,1,1.0,0.0,1.0,0.4,17.9349187337184,0.08318727456763397,0.003983388785659818,0.5,0.0,0.0,0.5,0.0,0.0,
257,4230.715283026676,1,0,1,460.0,0.0,1500.0,63,103.79408319469226,66.11896589396481,1,68,52.747812771073114,55.396971424673225,1,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,0.0,0.0,0,0.0,-0.1915112025019111,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684000000000001,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.2708670639884,19.46116847857788,0.0762897306793678,1.0634516662122305e-07,1,1.0,2.0,1,0.0,0.6,0.0,0.75,18.434645553925925,0.1014444580319395,0.0011206783046648066,0.5,0.0,0.0,0.5,0.0,0.0,
